"","meanSIS","meanRain","nEvents","windowstart","windowend","hours","variable","value","measure"
"2",123.083386613225,1.28571428571429,1334,1997-05-29,1997-08-27,278,"Emma",0.247533718340218,"eigen"
"3",253.786315655469,1.76043956043956,1769,1997-08-27,1997-11-25,406,"Emma",0.0943265215716578,"eigen"
"4",280.90089787264,1.11428571428571,1521,1997-11-25,1998-02-23,259.5,"Emma",0.0999560107393029,"eigen"
"5",155.275202807579,2.61758241758242,880,1998-02-23,1998-05-24,147.5,"Emma",0.417541501848705,"eigen"
"6",128.256327465637,1.29450549450549,777,1998-05-24,1998-08-22,174.683333333333,"Emma",0.398400789980073,"eigen"
"7",240.136666684914,1.15604395604396,1142,1998-08-22,1998-11-20,394.983333333333,"Emma",0.39612177708224,"eigen"
"8",273.644127917359,1.02637362637363,169,1998-11-20,1999-02-18,201.066666666667,"Emma",0.193288551172138,"eigen"
"9",153.877877952195,1.03516483516484,351,1999-02-18,1999-05-19,184.316666666667,"Emma",0.176881496307144,"eigen"
"10",115.184300963019,0.413186813186813,214,1999-05-19,1999-08-17,145.816666666667,"Emma",0.156202228308999,"eigen"
"11",229.431272104618,1.17362637362637,275,1999-08-17,1999-11-15,101.166666666667,"Emma",0.170189461280648,"eigen"
"12",275.672371598328,1.1956043956044,53,1999-11-15,2000-02-13,75.8833333333333,"Emma",0.630289458460873,"eigen"
"13",115.423959062294,0.879120879120879,277,2000-05-13,2000-08-11,57.7833333333333,"Emma",0.141899768408052,"eigen"
"14",116.188203461321,0.492307692307692,930,2001-05-08,2001-08-06,304.733333333333,"Emma",0.338818763547013,"eigen"
"15",194.647092702859,1.36703296703297,1006,2001-08-06,2001-11-04,360.816666666667,"Emma",0.35234310969565,"eigen"
"16",281.952382471119,1.10549450549451,384,2001-11-04,2002-02-02,161.666666666667,"Emma",0.261831163344185,"eigen"
"17",195.672306732752,0.630769230769231,463,2002-02-02,2002-05-03,259.3,"Emma",0.176927572971092,"eigen"
"18",111.108935409754,1.51428571428571,176,2002-05-03,2002-08-01,73.5666666666667,"Emma",0.182300424164768,"eigen"
"19",221.762815127641,1.05714285714286,519,2002-08-01,2002-10-30,86.55,"Emma",0.146405354502677,"eigen"
"20",194.889315364791,1.75824175824176,780,2003-01-28,2003-04-28,196.616666666667,"Emma",0.220625139112887,"eigen"
"21",114.000779670787,1.49450549450549,1771,2003-04-28,2003-07-27,284.35,"Emma",0.196917035090072,"eigen"
"22",199.659365200692,1.05274725274725,713,2003-07-27,2003-10-25,172.4,"Emma",0.0768356155219847,"eigen"
"23",285.345857569609,0.703296703296703,684,2003-10-25,2004-01-23,170.95,"Emma",0.0714027966382533,"eigen"
"24",196.49287659664,1.65934065934066,1549,2004-01-23,2004-04-22,327.8,"Emma",0.127597920201108,"eigen"
"25",117.464646961206,0.70989010989011,2018,2004-04-22,2004-07-21,405.333333333333,"Emma",0.145032294389021,"eigen"
"26",201.939309976181,1.77582417582418,610,2004-07-21,2004-10-19,167.3,"Emma",0.129935373826425,"eigen"
"27",288.554791884825,1.61538461538462,1271,2004-10-19,2005-01-17,283.25,"Emma",0.219089568682654,"eigen"
"28",213.861752668566,1.80879120879121,170,2005-01-17,2005-04-17,59.2666666666667,"Emma",0.0419068481603173,"eigen"
"29",190.992201581347,0.775824175824176,345,2005-07-16,2005-10-14,121.866666666667,"Emma",0.0641685670227176,"eigen"
"30",301.689234566828,0.602197802197802,480,2005-10-14,2006-01-12,174.383333333333,"Emma",0.0485863003786053,"eigen"
"31",215.151421241374,0.298901098901099,540,2006-01-12,2006-04-12,251.783333333333,"Emma",0.099951077789651,"eigen"
"32",114.246939277674,1.36483516483516,601,2006-04-12,2006-07-11,237.233333333333,"Emma",0.16496093099383,"eigen"
"35",123.083386613225,1.28571428571429,1334,1997-05-29,1997-08-27,278,"Gill",0.497219128861172,"eigen"
"36",253.786315655469,1.76043956043956,1769,1997-08-27,1997-11-25,406,"Gill",0.372133139606006,"eigen"
"37",280.90089787264,1.11428571428571,1521,1997-11-25,1998-02-23,259.5,"Gill",0.321740821802747,"eigen"
"38",155.275202807579,2.61758241758242,880,1998-02-23,1998-05-24,147.5,"Gill",0.280707859494976,"eigen"
"39",128.256327465637,1.29450549450549,777,1998-05-24,1998-08-22,174.683333333333,"Gill",0.190136634570045,"eigen"
"40",240.136666684914,1.15604395604396,1142,1998-08-22,1998-11-20,394.983333333333,"Gill",0.181905748235347,"eigen"
"41",273.644127917359,1.02637362637363,169,1998-11-20,1999-02-18,201.066666666667,"Gill",0.317773408790045,"eigen"
"42",153.877877952195,1.03516483516484,351,1999-02-18,1999-05-19,184.316666666667,"Gill",0.253314304469188,"eigen"
"43",115.184300963019,0.413186813186813,214,1999-05-19,1999-08-17,145.816666666667,"Gill",0.356560917524368,"eigen"
"44",229.431272104618,1.17362637362637,275,1999-08-17,1999-11-15,101.166666666667,"Gill",0.291234429482434,"eigen"
"45",275.672371598328,1.1956043956044,53,1999-11-15,2000-02-13,75.8833333333333,"Gill",0.100810677685892,"eigen"
"46",115.423959062294,0.879120879120879,277,2000-05-13,2000-08-11,57.7833333333333,"Gill",0.299911695783376,"eigen"
"47",116.188203461321,0.492307692307692,930,2001-05-08,2001-08-06,304.733333333333,"Gill",0.223734602408944,"eigen"
"48",194.647092702859,1.36703296703297,1006,2001-08-06,2001-11-04,360.816666666667,"Gill",0.0847725457384188,"eigen"
"49",281.952382471119,1.10549450549451,384,2001-11-04,2002-02-02,161.666666666667,"Gill",0.0149801552227078,"eigen"
